open,high,low,close,tr,atr,up,dn,trend,ema20,ema34,rsi,entry_signal,exit_signal
23387.0,23397.2,23314.85,23321.35,82.35000000000218,82.35000000000218,22991.94999999999,23650.750000000007,1,23321.35,23321.35,,0,1
23320.6,23434.55,23299.15,23365.7,135.39999999999782,87.65500000000175,23015.079999999994,23650.750000000007,1,23325.57380952381,23323.884285714284,,0,0
23367.0,23484.5,23366.7,23473.1,118.79999999999927,90.7695000000015,23110.021999999994,23650.750000000007,1,23339.623922902494,23332.41089795918,,0,0
23474.1,23658.0,23471.25,23651.9,186.75,100.36755000000134,23250.429799999994,23650.750000000007,1,23369.364501673685,23350.6674180758,,0,0
23652.3,23797.4,23643.5,23770.55,153.90000000000146,105.72079500000136,23347.666819999995,24193.433180000004,1,23407.572644371427,23374.660708471467,,0,0
23769.45,23871.25,23768.75,23823.0,102.5,105.39871550000123,23401.405137999995,24193.433180000004,1,23447.13715443129,23400.28009655881,,0,0
23822.15,23871.3,23816.7,23848.4,54.599999999998545,100.31884395000097,23447.124624199998,24193.433180000004,1,23485.35266353307,23425.88694818402,,0,0
23847.85,23862.2,23831.35,23837.75,30.850000000002183,93.3719595550011,23464.262161779996,24193.433180000004,1,23518.91431462516,23449.42197971636,,0,0
23922.15,24002.4,23903.9,23908.55,164.65000000000146,100.49976359950114,23506.550945601994,24193.433180000004,1,23556.022475137048,23475.65786658971,,0,0
23908.25,24061.2,23906.75,24015.0,154.45000000000073,105.8947872395511,23591.420851041796,24193.433180000004,1,23599.73462036209,23506.4774170703,,0,0
24015.85,24126.75,24009.3,24125.95,117.45000000000073,107.05030851559607,23697.748765937617,24193.433180000004,1,23649.850370803797,23541.875850380566,,0,0
24125.6,24166.7,24099.05,24160.7,67.65000000000146,103.11027766403662,23748.258889343855,24193.433180000004,1,23698.50271644153,23577.23723035882,,0,0
24161.05,24188.5,24146.5,24166.75,42.0,96.99924989763296,23778.75300040947,24193.433180000004,1,23743.097695828048,23610.923674338315,,0,0
24165.8,24171.6,24106.5,24145.05,65.09999999999854,93.80932490786952,23778.75300040947,24193.433180000004,1,23781.378867653948,23641.445178661837,94.68709753613676,-1,0
24144.15,24156.95,24109.95,24130.45,47.0,89.12839241708258,23778.75300040947,24193.433180000004,1,23814.62373740119,23669.388311309733,91.99328945570329,-1,0
24129.95,24133.65,24118.05,24121.2,15.600000000002183,81.77555317537454,23794.097787298502,24193.433180000004,1,23843.821476696314,23695.206122092033,90.24160364608161,-1,0
24196.5,24196.5,24073.25,24135.9,123.25,85.92299785783709,23794.097787298502,24193.433180000004,1,23871.638478915713,23720.38862940106,90.54957593826622,-1,0
24134.6,24202.55,24103.55,24198.35,99.0,87.23069807205339,23849.427207711786,24193.433180000004,1,23902.75386187612,23747.700707721,91.74194513222076,-1,0
24198.8,24242.25,24193.9,24232.25,48.349999999998545,83.3426282648479,23898.87948694061,24565.62051305939,1,23934.134446459346,23775.389238708372,92.30920568742333,-1,0
24231.55,24232.4,24166.15,24185.7,66.25,81.63336543836311,23898.87948694061,24512.233461753454,1,23958.093070606075,23798.835567925038,83.79707377464867,-1,0
24185.6,24198.15,24168.25,24192.65,29.900000000001455,76.46002889452696,23898.87948694061,24498.490115578108,1,23980.431825786447,23821.339249757893,84.03379910081469,-1,0
24191.8,24197.1,24173.15,24178.6,23.94999999999709,71.20902600507398,23898.87948694061,24463.436104020293,1,23999.304985235358,23841.754149771725,81.44330353398976,-1,0
24178.7,24184.7,24144.05,24169.9,40.650000000001455,68.15312340456673,23898.87948694061,24442.51249361827,1,24015.552129498657,23860.505341213342,79.80280952617579,-1,0
24170.7,24171.4,24126.95,24134.05,44.45000000000073,65.78281106411013,23898.87948694061,24397.18124425644,1,24026.837640974976,23876.13646457258,73.25479111179803,-1,0
24350.15,24353.35,24285.15,24347.35,219.29999999999927,81.13452995769904,24022.811880169204,24397.18124425644,1,24057.362627548788,23903.06295231129,82.4707624584915,-1,0
24346.4,24354.3,24189.95,24208.05,164.34999999999854,89.456076961929,24022.811880169204,24397.18124425644,1,24071.713805877473,23920.49078360779,66.38296135362773,-1,0
24209.35,24242.1,24120.15,24203.6,121.94999999999709,92.70546926573581,24022.811880169204,24397.18124425644,1,24084.274395793902,23936.668453115915,65.94043203921498,-1,0
24203.35,24251.8,24180.0,24213.4,71.79999999999927,90.61492233916216,24022.811880169204,24397.18124425644,1,24096.57207238496,23952.481684366434,66.47053808150173,-1,0
24212.55,24266.75,24207.85,24245.05,58.900000000001455,87.4434301052461,24022.811880169204,24397.18124425644,1,24110.712827395913,23969.199873831207,68.19235682998129,-1,0
24245.25,24307.1,24244.1,24302.45,63.0,84.99908709472149,24022.811880169204,24397.18124425644,1,24128.973510501066,23988.242738183708,71.09174029361344,-1,0
24302.35,24340.25,24278.8,24323.85,61.45000000000073,82.6441783852494,24022.811880169204,24397.18124425644,1,24147.53317616763,24007.42029600178,72.11237937305354,-1,0
24323.6,24327.4,24287.9,24300.85,39.5,78.32976054672447,24022.811880169204,24397.18124425644,1,24162.13477843738,24024.18770765882,69.28121874355136,-1,0
24281.0,24293.3,24270.35,24273.75,30.5,73.54678449205203,24022.811880169204,24397.18124425644,1,24172.76479953858,24038.448410078316,65.99359138065098,-1,0
24273.7,24347.55,24239.7,24290.25,107.84999999999854,76.97710604284669,24022.811880169204,24397.18124425644,1,24183.95386624919,24052.837072359554,67.01976340607328,-1,0
24290.75,24313.1,24267.4,24271.5,45.69999999999709,73.84939543856173,24022.811880169204,24397.18124425644,1,24192.291593273076,24065.33209679615,64.63296630581667,-1,0
